City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
527,solnechnyy,RU,50.7214,136.6319,33.6,82,100,7.63,overcast clouds
528,la ronge,CA,55.1001,-105.2842,41.22,48,20,6.91,few clouds
529,san jeronimo,PE,-11.9472,-75.2829,59.7,59,84,3.42,broken clouds
530,guajara,BR,-2.9667,-57.6667,76.41,93,100,2.77,moderate rain
531,adrar,MR,20.5022,-10.0711,82.63,11,0,11.05,clear sky
532,bestobe,KZ,52.4994,73.0975,35.71,88,100,14.61,overcast clouds
533,tarko-sale,RU,64.9225,77.785,7.18,93,100,10.02,overcast clouds
534,libano,CO,4.9218,-75.0623,72.7,75,94,3.0,overcast clouds
535,nuuk,GL,64.1835,-51.7216,36.21,87,20,11.5,few clouds
536,cabra,ES,37.4725,-4.4421,45.99,73,100,3.85,overcast clouds
537,shumikha,RU,55.2261,63.2961,39.63,84,100,17.05,overcast clouds
538,umba,RU,66.6871,34.3429,22.57,91,100,9.71,overcast clouds
539,dores do indaia,BR,-19.4633,-45.6017,78.69,66,45,6.13,scattered clouds
540,jalingo,NG,8.8833,11.3667,87.93,26,100,1.52,overcast clouds
541,karratha,AU,-20.7377,116.8463,80.78,71,0,10.69,clear sky
542,santa vitoria do palmar,BR,-33.5189,-53.3681,70.97,70,100,10.8,light rain
543,west bay,KY,19.3667,-81.4167,86.07,74,20,11.5,few clouds
544,ust-karsk,RU,52.7011,118.8077,21.47,50,32,5.55,scattered clouds
545,copiapo,CL,-27.3667,-70.3333,64.09,30,0,8.12,clear sky
546,skjervoy,NO,70.0311,20.9714,15.8,67,22,14.0,few clouds
547,sanquhar,GB,55.3653,-3.9216,45.55,95,100,13.65,overcast clouds
548,san fernando,PH,15.0286,120.6898,73.89,80,94,4.41,overcast clouds
549,buta,CD,2.7858,24.73,71.46,92,62,3.85,light rain
550,shakawe,BW,-18.3667,21.85,67.08,93,100,8.01,moderate rain
551,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,23.59,58,0,13.42,clear sky
552,valparaiso,CL,-33.0393,-71.6273,77.23,53,0,13.8,clear sky
553,zhuhai,CN,22.2769,113.5678,64.18,72,0,14.97,clear sky
554,aguascalientes,MX,21.8833,-102.3,89.91,2,5,9.66,clear sky
555,tucano,BR,-10.9631,-38.7867,86.88,42,99,12.48,overcast clouds
556,graaff-reinet,ZA,-32.2522,24.5308,61.92,90,47,2.91,scattered clouds
557,ebolowa,CM,2.9,11.15,70.39,96,84,2.42,moderate rain
558,kingisepp,RU,59.3733,28.6134,23.47,95,27,3.2,scattered clouds
559,talcher,IN,20.95,85.2167,74.37,93,7,5.12,clear sky
560,havre-saint-pierre,CA,50.2334,-63.5986,41.36,48,0,20.71,clear sky
